,Degree,Betweenness,Closeness,Eigenvector
AFP,0.03695652173913044,0.00014480932453838334,0.6311677560545788,0.020390794640041673
VTCN1,0.005978260869565218,5.910584675036055e-07,0.5122434342976192,0.0031940536190606344
NR3C1,0.07608695652173914,0.0004560016076790317,0.7699381790612411,0.044807555866387065
PTPN2,0.019021739130434784,4.1669621959004187e-05,0.6458707583656431,0.010923941380447034
TNFAIP3,0.05326086956521739,0.000127373099747027,0.6997121679680443,0.030213913396850912
PTGER4,0.022282608695652174,0.0001149608719294513,0.5988899528065338,0.013517935597650303
PTPN22,0.019021739130434784,2.246022176513701e-05,0.596446158243047,0.009028861864719155
FURIN,0.03695652173913044,0.00018204600799111054,0.6258613020539423,0.01782029476539587
TXN,0.07282608695652174,0.0005086058112868526,0.7201584778453048,0.03516173509646235
CDKN2A,0.1282608695652174,0.000523086743740691,0.785320812985861,0.06906351441624757
ADAM17,0.035869565217391305,4.876232356904746e-05,0.6517066496532146,0.02092554800102099
TGFBR2,0.07608695652173914,0.00032094474785445776,0.7311845077012025,0.04243395625922841
AGER,0.042391304347826085,4.669361893278484e-05,0.6713554894439847,0.0252141141693505
BRAF,0.09891304347826087,0.0006302160909757192,0.7642509084248866,0.05329332438086188
NOS3,0.058152173913043476,0.00010905028725441522,0.7251227447115128,0.03352138138317134
ITGB1,0.09728260869565218,0.00038197153462420503,0.7598160412438041,0.05103669377647412
RARRES2,0.01141304347826087,1.7731754025108165e-06,0.5184462010954155,0.00507548305965234
BCL2L11,0.07771739130434782,0.00027351230583729343,0.7301939299313545,0.04629771710571886
FOXO1,0.12119565217391305,0.00047949618176229997,0.8010832866017098,0.06822231511444442
VWF,0.0641304347826087,0.00013298815518831127,0.6730841877786666,0.0313290798194856
NFE2L2,0.0967391304347826,0.0005510142563302363,0.7561130271892091,0.05415354327212669
CHUK,0.08586956521739131,7.713313000922053e-05,0.7922135560974503,0.05510001731677154
CTSB,0.06358695652173914,0.00046856160011348325,0.6753498270703555,0.029506269634677364
IFI16,0.03260869565217391,3.7532212686478956e-05,0.6846765944479839,0.0167982312911931
CD46,0.017934782608695653,4.817126510154385e-05,0.5570765357518942,0.00803710810684482
EZH2,0.11576086956521739,0.0005958361901159263,0.7745576338316678,0.06008904381725029
KDR,0.10543478260869565,0.000392462822422394,0.7802500374200503,0.05802822698907584
RUNX3,0.043478260869565216,8.333924391800839e-05,0.7165123171997156,0.02650004983541103
S1PR1,0.021195652173913043,1.5958578622597348e-05,0.6039039936501794,0.01122846334168352
TREM1,0.021195652173913043,5.023996973780647e-06,0.5752054768376114,0.011008418817719114
CASP9,0.09619565217391304,0.00039645246707804333,0.758476761613734,0.05623134077262754
SMAD2,0.1141304347826087,0.00029863229070619665,0.7911425006463266,0.06530777856195868
NFATC1,0.04565217391304348,0.00010077546870936475,0.6782762786731217,0.029108170066803118
ENG,0.05434782608695652,0.00010639052415064902,0.647576546965343,0.02830704877824335
MAVS,0.05,4.019197579024518e-05,0.6924629139591858,0.026887333171996142
CEBPB,0.0875,0.00023908315010520847,0.7615048639114784,0.051193437083602925
APP,0.11956521739130435,0.0008499420762701847,0.8085139881723656,0.05592352010655804
MAPK9,0.04782608695652174,4.521597276402583e-05,0.7639550022251274,0.03375052508067596
NEFL,0.023369565217391305,2.659763103766225e-05,0.6107955945900846,0.009998963689514919
CLDN1,0.027717391304347826,3.3985861881457324e-05,0.6239651794624822,0.01698872455769311
ESR1,0.17989130434782608,0.0017516017684469348,0.872208629592867,0.09404564784540831
WNT5A,0.049456521739130434,0.0001535274369340615,0.6495393783956953,0.02630088307430793
IL24,0.01576086956521739,0.0,0.6114847936691169,0.010277357568002238
