,Degree,Betweenness,Closeness,Eigenvector
IL7R,0.005763688760806916,2.477219548104946e-05,0.6736220253025728,0.008653106909660493
C1R,0.004995196926032661,4.112701306391818e-05,0.6170967612257922,0.005202284295496726
DNMT3A,0.017483189241114312,0.0008698510936315157,0.7457125766247182,0.026275803482912124
TIMP1,0.01690682036503362,0.00031411956073101253,0.7382180176407385,0.03119064021298042
DEFB4A,0.0026897214217098944,0.00010115620807462816,0.6367893409467141,0.005229564679020059
TBK1,0.01882804995196926,0.002687592465019273,0.7675826946429398,0.026273959215820725
MMP2,0.029010566762728146,0.0014177067173875213,0.7731117123583815,0.048426984635239985
CD55,0.008837656099903939,0.00040061919413205376,0.6446880065194562,0.010462309949594984
CEACAM5,0.005379442843419789,0.0004553690687943436,0.7096479302908119,0.011704521884697937
TNFSF9,0.004610951008645533,2.9128557726599146e-05,0.598978762627962,0.004361096524737929
